abbrev,meaning
POSITIVE,positive
POSITIVE REFERENCE NEGATIVE POSITIVE,positive
LESS SPECIMEN INADEQUATE NEGATIVE SPECIMEN NEGATIVE NOT REFER,not done
LESS SPECIMEN INADEQUATE NEGATIVE SPECIMEN NEGATIVE NOT,not done
,
NEGATIVE DIFFICILE REFERENCE NEGATIVE. REQUESTED,negative
POSITIVE REFERENCE NEGATIVE POSITIVE POSITIVE,positive
POSITIVE POSITIVE,positive
GREATER SPECIMEN INADEQUATE NEGATIVE SPECIMEN NEGATIVE NOT,not done
UNINTERPRETABLE,not done
PLEASE REFER CANCELED CREDITED.,not done
UNINTERPRETABLE REFER,not done
NEGATIVE,negative
GREATER SPECIMEN INADEQUATE NEGATIVE SPECIMEN NEGATIVE NOT REFER,not done
NEGATIVE DIFFICILE REFERENCE NEGATIVE.,negative
INSUFFICIENT REFER,not done
CORRECTED,
NEG.,negative
GREATER SPECIMEN INADEQUATE NEGATIVE SPECIMEN NEGATIVE NOT REFER NOT,not done
REQUESTED NEGATIVE DIFFICILE REFERENCE NEGATIVE.,negative
DUPLICATE PLEASE REFER CANCELED CREDITED.,not done
CANCELED CREDITED. REFER,not done
NEGATIVE NOT,negative
INSUFFICIENT REFER NEGATIVE SPECIMEN NEGATIVE,not done
NEGATIVE REFERENCE NEGATIVE POSITIVE,negative
INVALID,not done
INVALID DIFFICILE REFERENCE NEGATIVE. PLEASE SUBMIT,not done
INVALID PLEASE SUBMIT SPECIMEN.,not done
IMPROPER SPECIMEN CANCELED CREDITED.,not done
DUPLICATE REFER CANCELED CREDITED.,not done
NEGATIVE.,negative
NEGATIVE SUBMIT LOWER LOWEST,negative
NEGATIVE REFERENCE NEGATIVE. NEGATIVE NOT,negative
NEGATIVE REFERENCE NEGATIVE POSITIVE SUBMIT,negative
GREATER SPECIMEN INADEQUATE NEGATIVE SPECIMEN NEGATIVE NOT REFER SPECIMEN NOT,not done
NO SEEN.,negative
DUPLICATE SPECIMEN. REFER CANCELED CREDITED.,not done
UNINTERPRETABLE PLEASE SUBMIT SPECIMEN.,not done
REFER CANCELED CREDITED.,not done
REACTIVE IMMUNE. DONE,positive
POSITIVE.,positive
PLEASE REFER,not done
NON REACTIVE NON IMMUNE DONE,negative
NEGATIVE REFER,negative
NEGATIVE POSITIVE,negative
NEGATIVE DONE,negative
INVALID PLEASE SUBMIT SPECIMEN,not done
EQUIVOCAL REFERENCE NEGATIVE POSITIVE,equivocal
EQUIVOCAL,equivocal
DUPLICATE SPECIMEN. REFER CREDITED.,not done
DUPLICATE SPECIMEN. PLEASE REFER CANCELED CREDITED.,not done
DUPLICATE SPECIMEN. CANCELED CREDITED. REFER,not done
CORRECTED LESS SPECIMEN INADEQUATE NEGATIVE SPECIMEN NEGATIVE NOT REFER PREVIOUSLY NEGATIVE,not done
UNINTERPRETABLE RESUBMIT,not done
UNINTERPRETABLE NO UNABLE PERFORM,not done
POSITIVE SPECIMEN POSITIVE,positive
POSITIVE REFERENCE NEGATIVE.,positive
